Season,#,Team,Points,MP,W,D,L,GF,GA,GD
00/01,1,Real Madrid,80,38,24,8,6,81,40,41
00/01,2,RC Deportivo,73,38,22,7,9,73,44,29
00/01,3,RCD Mallorca,71,38,20,11,7,61,43,18
00/01,4,FC Barcelona,63,38,17,12,9,80,57,23
00/01,5,Valencia CF,63,38,18,9,11,55,34,21
00/01,6,RC Celta,59,38,16,11,11,51,49,2
00/01,7,Villarreal CF,57,38,16,9,13,58,52,6
00/01,8,Málaga CF,56,38,16,8,14,60,61,-1
00/01,9,RCD Espanyol,50,38,14,8,16,46,44,2
00/01,10,Alavés,49,38,14,7,17,58,59,-1
00/01,11,UD Las Palmas,46,38,13,7,18,42,62,-20
00/01,12,Athletic,43,38,11,10,17,44,60,-16
00/01,13,Real Sociedad,43,38,11,10,17,52,68,-16
00/01,14,Rayo Vallecano,43,38,10,13,15,56,68,-12
00/01,15,CA Osasuna,42,38,10,12,16,43,54,-11
00/01,16,Real Valladolid,42,38,9,15,14,42,50,-8
00/01,17,Real Zaragoza,42,38,9,15,14,54,57,-3
00/01,18,Real Oviedo,41,38,11,8,19,51,67,-16
00/01,19,Racing,39,38,10,9,19,48,62,-14
00/01,20,CD Numancia,39,38,10,9,19,40,64,-24
01/02,1,Valencia CF,75,38,21,12,5,51,27,24
01/02,2,RC Deportivo,68,38,20,8,10,65,41,24
01/02,3,Real Madrid,66,38,19,9,10,69,44,25
01/02,4,FC Barcelona,64,38,18,10,10,65,37,28
01/02,5,RC Celta,60,38,16,12,10,64,46,18
01/02,6,Real Betis,59,38,15,14,9,42,34,8
01/02,7,Alavés,54,38,17,3,18,41,44,-3
01/02,8,Sevilla FC,53,38,14,11,13,51,40,11
01/02,9,Athletic,53,38,14,11,13,54,66,-12
01/02,10,Málaga CF,53,38,13,14,11,44,44,0
01/02,11,Rayo Vallecano,49,38,13,10,15,46,52,-6
01/02,12,Real Valladolid,48,38,13,9,16,45,58,-13
01/02,13,Real Sociedad,47,38,13,8,17,48,54,-6
01/02,14,RCD Espanyol,47,38,13,8,17,47,56,-9
01/02,15,Villarreal CF,43,38,11,10,17,46,55,-9
01/02,16,RCD Mallorca,43,38,11,10,17,40,52,-12
01/02,17,CA Osasuna,42,38,10,12,16,36,49,-13
01/02,18,UD Las Palmas,40,38,9,13,16,40,50,-10
01/02,19,CD Tenerife,38,38,10,8,20,32,58,-26
01/02,20,Real Zaragoza,37,38,9,10,19,35,54,-19
02/03,1,Real Madrid,78,38,22,12,4,86,42,44
