Season,#,Team,Points,MP,W,D,L,GF,GA,GD
00/01,1,FC Nantes,68,34,21,5,8,58,36,22
00/01,2,Lyon,64,34,17,13,4,57,30,27
00/01,3,Lille,59,34,16,11,7,43,27,16
00/01,4,G. Burdeos,57,34,15,12,7,48,33,15
00/01,5,CS Sedan,52,34,14,10,10,47,40,7
00/01,6,Stade Rennes,50,34,15,5,14,46,37,9
00/01,7,Troyes,46,34,11,13,10,45,47,-2
00/01,8,SC Bastia,45,34,13,6,15,45,41,4
00/01,9,PSG,44,34,12,8,14,44,45,-1
00/01,10,Guingamp,44,34,11,11,12,40,48,-8
00/01,11,Mónaco,43,34,12,7,15,53,50,3
00/01,12,FC Metz,42,34,11,9,14,35,44,-9
00/01,13,Auxerre,41,34,11,8,15,31,41,-10
00/01,14,Lens,40,34,9,13,12,37,39,-2
00/01,15,Marsella,40,34,11,7,16,31,40,-9
00/01,16,St-Étienne,37,34,9,10,15,43,56,-13
00/01,17,Toulouse,34,34,8,10,16,34,50,-16
00/01,18,Estrasburgo,29,34,7,8,19,28,61,-33
01/02,1,Lyon,66,34,20,6,8,62,32,30
01/02,2,Lens,64,34,18,10,6,55,30,25
01/02,3,Auxerre,59,34,16,11,7,48,38,10
01/02,4,PSG,58,34,15,13,6,43,24,19
01/02,5,Lille,56,34,15,11,8,39,32,7
01/02,6,G. Burdeos,50,34,14,8,12,34,31,3
01/02,7,Troyes,47,34,13,8,13,40,35,5
01/02,8,FC Sochaux,46,34,12,10,12,41,40,1
01/02,9,Marsella,44,34,11,11,12,34,39,-5
01/02,10,FC Nantes,43,34,12,7,15,35,41,-6
01/02,11,SC Bastia,41,34,12,5,17,38,44,-6
01/02,12,Stade Rennes,41,34,11,8,15,40,51,-11
01/02,13,Montpellier,40,34,9,13,12,28,31,-3
01/02,14,CS Sedan,39,34,8,15,11,35,39,-4
01/02,15,Mónaco,39,34,9,12,13,36,41,-5
01/02,16,Guingamp,35,34,9,8,17,34,57,-23
01/02,17,FC Metz,33,34,9,6,19,31,47,-16
01/02,18,FC Lorient,31,34,7,10,17,43,64,-21
02/03,1,Lyon,68,38,19,11,8,63,41,22
02/03,2,Mónaco,67,38,19,10,9,66,33,33
02/03,3,Marsella,65,38,19,8,11,41,36,5
02/03,4,G. Burdeos,64,38,18,10,10,57,36,21
02/03,5,FC Sochaux,64,38,17,13,8,46,31,15
02/03,6,Auxerre,64,38,18,10,10,38,29,9
02/03,7,Guingamp,62,38,19,5,14,59,46,13
