Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
00/01,1,Real Madrid,80,38,24,8,6,81,40,+41,Raúl,24
00/01,2,Deportivo,73,38,22,7,9,73,44,+29,Diego Tristán,19
00/01,3,Mallorca,71,38,20,11,7,61,43,+18,Samuel Eto'o,11
00/01,4,Barcelona,63,38,17,12,9,80,57,+23,Rivaldo,23
00/01,5,Valencia,63,38,18,9,11,55,34,+21,Juan Sánchez,12
00/01,6,Celta Vigo,59,38,16,11,11,51,49,+2,Catanha,16
00/01,7,Villarreal,57,38,16,9,13,58,52,+6,Víctor,14
00/01,8,Málaga,56,38,16,8,14,60,61,-1,Julio Dely Valdés,16
00/01,9,Espanyol,50,38,14,8,16,46,44,+2,Raúl Tamudo,11
00/01,10,Alavés,49,38,14,7,17,58,59,-1,Javi Moreno,22
00/01,11,Las Palmas,46,38,13,7,18,42,62,-20,Antonio Guayre,8
00/01,12,Athletic Club,43,38,11,10,17,44,60,-16,Ismael Urzaiz,10
00/01,13,Real Sociedad,43,38,11,10,17,52,68,-16,Edgaras Jankauskas,11
00/01,14,Rayo Vallecano,43,38,10,13,15,56,68,-12,Míchel,10
00/01,15,Osasuna,42,38,10,12,16,43,54,-11,Iván Rosado,14
00/01,16,Valladolid,42,38,9,15,14,42,50,-8,Iván Kaviedes,6
00/01,17,Zaragoza,42,38,9,15,14,54,57,-3,Paulo Jamelli,13
00/01,18,Oviedo,41,38,11,8,19,51,67,-16,Oli,15
00/01,19,Racing,39,38,10,9,19,48,62,-14,Javier Mazzoni,9
00/01,20,Numancia,39,38,10,9,19,40,64,-24,Laurențiu Roșu,8
01/02,1,Valencia,75,38,21,12,5,51,27,+24,Rubén Baraja,7
01/02,2,Deportivo,68,38,20,8,10,65,41,+24,Diego Tristán,21
01/02,3,Real Madrid,66,38,19,9,10,69,44,+25,Fernando Morientes,18
01/02,4,Barcelona,64,38,18,10,10,65,37,+28,Patrick Kluivert,18
01/02,5,Celta Vigo,60,38,16,12,10,64,46,+18,Catanha,17
01/02,6,Betis,59,38,15,14,9,42,34,+8,João Tomás,7
01/02,7,Alavés,54,38,17,3,18,41,44,-3,Magno Mocelin,7
01/02,8,Sevilla,53,38,14,11,13,51,40,+11,Moisés,13
01/02,9,Athletic Club,53,38,14,11,13,54,66,-12,Ismael Urzaiz,15
01/02,10,Málaga,53,38,13,14,11,44,44,0,Julio Dely Valdés,11
01/02,11,Rayo Vallecano,49,38,13,10,15,46,52,-6,Elvir Bolić,11
01/02,12,Valladolid,48,38,13,9,16,45,58,-13,Fernando,15
01/02,13,Real Sociedad,47,38,13,8,17,48,54,-6,Darko Kovačević,8
01/02,14,Espanyol,47,38,13,8,17,47,56,-9,Raúl Tamudo,17
01/02,15,Villarreal,43,38,11,10,17,46,55,-9,Víctor,14
01/02,16,Mallorca,43,38,11,10,17,40,52,-12,Albert Luque,14
01/02,17,Osasuna,42,38,10,12,16,36,49,-13,John Aloisi,9
01/02,18,Las Palmas,40,38,9,13,16,40,50,-10,Jorge Larena,7
01/02,19,Tenerife,38,38,10,8,20,32,58,-26,Bruno Marioni,9
01/02,20,Zaragoza,37,38,9,10,19,35,54,-19,Roberto Acuña,6
02/03,1,Real Madrid,78,38,22,12,4,86,42,+44,Ronaldo,23
02/03,2,Real Sociedad,76,38,22,10,6,71,45,+26,Nihat Kahveci,23
02/03,3,Deportivo,72,38,22,6,10,67,47,+20,Roy Makaay,29
02/03,4,Celta Vigo,61,38,17,10,11,45,36,+9,Edu,11
02/03,5,Valencia,60,38,17,9,12,56,35,+21,Pablo Aimar,8
02/03,6,Barcelona,56,38,15,11,12,63,47,+16,Patrick Kluivert,16
02/03,7,Athletic Club,55,38,15,10,13,63,61,+2,Joseba Etxeberria,14
02/03,8,Betis,54,38,14,12,12,56,53,+3,Fernando,15
02/03,9,Mallorca,52,38,14,10,14,49,56,-7,Samuel Eto'o,14
02/03,10,Sevilla,50,38,13,11,14,38,39,-1,José Antonio Reyes,9
02/03,11,Osasuna,47,38,12,11,15,40,48,-8,John Aloisi,8
02/03,12,Atlético Madrid,47,38,12,11,15,51,56,-5,Fernando Torres,13
02/03,13,Málaga,46,38,11,13,14,44,49,-5,Julio Dely Valdés,10
02/03,14,Valladolid,46,38,12,10,16,37,40,-3,David Aganzo,9
02/03,15,Villarreal,45,38,11,12,15,44,53,-9,Jorge López,8
02/03,16,Racing,44,38,13,5,20,54,64,-10,Javi Guerrero,15
02/03,17,Espanyol,43,38,10,13,15,48,54,-6,Savo Milošević,12
02/03,18,Recreativo,36,38,8,12,18,35,61,-26,Raúl Molina,10
02/03,19,Alavés,35,38,8,11,19,38,68,-30,Rubén Navarro,10
02/03,20,Rayo Vallecano,32,38,7,11,20,31,62,-31,Julio Álvarez,8
03/04,1,Valencia,77,38,23,8,7,71,27,+44,Mista,19
03/04,2,Barcelona,72,38,21,9,8,63,39,+24,Ronaldinho,15
03/04,3,Deportivo,71,38,21,8,9,60,34,+26,Walter Pandiani,14
03/04,4,Real Madrid,70,38,21,7,10,72,54,+18,Ronaldo,24
03/04,5,Athletic Club,56,38,15,11,12,53,49,+4,Francisco Yeste,11
03/04,6,Sevilla,55,38,15,10,13,56,45,+11,Júlio Baptista,20
03/04,7,Atlético Madrid,55,38,15,10,13,51,53,-2,Fernando Torres,19
03/04,8,Villarreal,54,38,15,9,14,47,49,-2,Sonny Anderson,12
03/04,9,Betis,52,38,13,13,12,46,43,+3,Joaquín,8
03/04,10,Málaga,51,38,15,6,17,50,55,-5,Salva Ballesta,19
03/04,11,Mallorca,51,38,15,6,17,54,66,-12,Samuel Eto'o,17
03/04,12,Zaragoza,48,38,13,9,16,46,55,-9,David Villa,17
03/04,13,Osasuna,48,38,11,15,12,38,37,+1,John Aloisi,6
03/04,14,Albacete,47,38,13,8,17,40,48,-8,Carlos Aranda,8
03/04,15,Real Sociedad,46,38,11,13,14,49,53,-4,Nihat Kahveci,13
03/04,16,Espanyol,43,38,13,4,21,48,64,-16,Raúl Tamudo,19
03/04,17,Racing,43,38,11,10,17,48,63,-15,Javi Guerrero,11
03/04,18,Valladolid,41,38,10,11,17,46,56,-10,Óscar,10
03/04,19,Celta Vigo,39,38,9,12,17,48,68,-20,Savo Milošević,14
03/04,20,Real Murcia,26,38,5,11,22,29,57,-28,Luis García,11
04/05,1,Barcelona,84,38,25,9,4,73,29,+44,Samuel Eto'o,24
04/05,2,Real Madrid,80,38,25,5,8,71,32,+39,Ronaldo,21
04/05,3,Villarreal,65,38,18,11,9,69,37,+32,Diego Forlán,24
04/05,4,Betis,62,38,16,14,8,62,50,+12,Ricardo Oliveira,22
04/05,5,Espanyol,61,38,17,10,11,54,46,+8,Maxi Rodríguez,15
04/05,6,Sevilla,60,38,17,9,12,44,41,+3,Júlio Baptista,18
04/05,7,Valencia,58,38,14,16,8,54,39,+15,Marco Di Vaio,11
04/05,8,Athletic Club,51,38,14,9,15,59,54,+5,Ismael Urzaiz,12
04/05,9,Deportivo,51,38,12,15,11,46,50,-4,Albert Luque,11
04/05,10,Málaga,51,38,15,6,17,40,48,-8,Fernando Baiano,9
04/05,11,Atlético Madrid,50,38,13,11,14,40,34,+6,Fernando Torres,16
04/05,12,Zaragoza,50,38,14,8,16,52,57,-5,David Villa,14
04/05,13,Getafe,47,38,12,11,15,38,46,-8,Míchel,5
04/05,14,Real Sociedad,47,38,13,8,17,47,56,-9,Nihat Kahveci,13
04/05,15,Osasuna,46,38,12,10,16,46,65,-19,Richard Morales,9
04/05,16,Racing,44,38,12,8,18,41,58,-17,Yossi Benayoun,9
04/05,17,Mallorca,39,38,10,9,19,42,63,-21,Luis García,11
04/05,18,Levante,37,38,9,10,19,39,58,-19,Sergio García,7
04/05,19,Numancia,29,38,6,11,21,30,61,-31,Luis Tevenet,6
04/05,20,Albacete,28,38,6,10,22,33,56,-23,Antonio Pacheco,12
05/06,1,Barcelona,82,38,25,7,6,80,35,+45,Samuel Eto'o,26
05/06,2,Real Madrid,70,38,20,10,8,70,40,+30,Ronaldo,14
05/06,3,Valencia,69,38,19,12,7,58,33,+25,David Villa,25
05/06,4,Osasuna,68,38,21,5,12,49,43,+6,Savo Milošević,11
05/06,5,Sevilla,68,38,20,8,10,54,39,+15,Javier Saviola,9
05/06,6,Celta Vigo,64,38,20,4,14,45,33,+12,Fernando Baiano,13
05/06,7,Villarreal,57,38,14,15,9,50,39,+11,Juan Román Riquelme,12
05/06,8,Deportivo,55,38,15,10,13,47,45,+2,Diego Tristán,11
05/06,9,Getafe,54,38,15,9,14,54,49,+5,Veljko Paunović,10
05/06,10,Atlético Madrid,52,38,13,13,12,45,37,+8,Fernando Torres,13
05/06,11,Zaragoza,46,38,10,16,12,46,51,-5,Diego Milito,15
05/06,12,Athletic Club,45,38,11,12,15,40,46,-6,Aritz Aduriz,6
05/06,13,Mallorca,43,38,10,13,15,37,51,-14,Juan Arango,11
05/06,14,Betis,42,38,10,12,16,34,51,-17,Robert,7
05/06,15,Espanyol,41,38,10,11,17,36,56,-20,Luis García,10
05/06,16,Real Sociedad,40,38,11,7,20,48,65,-17,Xabi Prieto,9
05/06,17,Racing,40,38,9,13,16,36,49,-13,Antoñito,9
05/06,18,Alavés,39,38,9,12,17,35,54,-19,John Aloisi,10
05/06,19,Cádiz,36,38,8,12,18,36,52,-16,Jonathan Sesma,7
05/06,20,Málaga,24,38,5,9,24,36,68,-32,Salva Ballesta,6
06/07,1,Real Madrid,76,38,23,7,8,66,40,+26,Ruud van Nistelrooy,25
06/07,2,Barcelona,76,38,22,10,6,78,33,+45,Ronaldinho,21
06/07,3,Sevilla,71,38,21,8,9,64,35,+29,Frédéric Kanouté,21
06/07,4,Valencia,66,38,20,6,12,57,42,+15,David Villa,16
06/07,5,Villarreal,62,38,18,8,12,48,44,+4,Diego Forlán,19
06/07,6,Zaragoza,60,38,16,12,10,55,43,+12,Diego Milito,23
06/07,7,Atlético Madrid,60,38,17,9,12,46,39,+7,Fernando Torres,15
06/07,8,Recreativo,54,38,15,9,14,54,52,+2,Florent Sinama Pongolle,12
06/07,9,Getafe,52,38,14,10,14,39,33,+6,Dani Güiza,11
06/07,10,Racing,50,38,12,14,12,42,48,-6,Nikola Žigić,11
06/07,11,Espanyol,49,38,12,13,13,46,53,-7,Raúl Tamudo,15
06/07,12,Mallorca,49,38,14,7,17,41,47,-6,Boško Janković,9
06/07,13,Deportivo,47,38,12,11,15,32,45,-13,Javier Arizmendi,5
06/07,14,Osasuna,46,38,13,7,18,51,49,+2,Roberto Soldado,11
06/07,15,Levante,42,38,10,12,16,37,53,-16,Riga Mustapha,9
06/07,16,Betis,40,38,8,16,14,36,49,-13,Robert,9
06/07,17,Athletic Club,40,38,10,10,18,44,62,-18,Aritz Aduriz,9
06/07,18,Celta Vigo,39,38,10,9,19,40,59,-19,Fernando Baiano,15
06/07,19,Real Sociedad,35,38,8,11,19,32,47,-15,Sávio,5
06/07,20,Gimnàstic,28,38,7,7,24,34,69,-35,Javier Portillo,11
07/08,1,Real Madrid,85,38,27,4,7,84,36,+48,Raúl,18
07/08,2,Villarreal,77,38,24,5,9,63,40,+23,Nihat Kahveci,18
07/08,3,Barcelona,67,38,19,10,9,76,43,+33,Samuel Eto'o,16
07/08,4,Atlético Madrid,64,38,19,7,12,66,47,+19,Sergio Agüero,20
07/08,5,Sevilla,64,38,20,4,14,75,49,+26,Luís Fabiano,24
07/08,6,Racing,60,38,17,9,12,42,41,+1,Mohamed Tchité,8
07/08,7,Mallorca,59,38,15,14,9,69,54,+15,Dani Güiza,27
07/08,8,Almería,52,38,14,10,14,42,45,-3,Álvaro Negredo,12
07/08,9,Deportivo,52,38,15,7,16,46,47,-1,Xisco,9
07/08,10,Valencia,51,38,15,6,17,48,62,-14,David Villa,18
07/08,11,Athletic Club,50,38,13,11,14,40,43,-3,Fernando Llorente,11
07/08,12,Espanyol,48,38,13,9,16,43,53,-10,Luis García,13
07/08,13,Betis,47,38,12,11,15,45,51,-6,Edu,12
07/08,14,Getafe,47,38,12,11,15,44,48,-4,Juan Ángel Albín,7
07/08,15,Valladolid,45,38,11,12,15,42,57,-15,Joseba Llorente,17
07/08,16,Recreativo,44,38,11,11,16,40,60,-20,Florent Sinama Pongolle,10
07/08,17,Osasuna,43,38,12,7,19,37,44,-7,Dady,7
07/08,18,Zaragoza,42,38,10,12,16,50,61,-11,Ricardo Oliveira,17
07/08,19,Real Murcia,30,38,7,9,22,36,65,-29,Iván Alonso,10
07/08,20,Levante,26,38,7,5,26,33,75,-42,Riga Mustapha,8
08/09,1,Barcelona,87,38,27,6,5,105,35,+70,Samuel Eto'o,30
08/09,2,Real Madrid,78,38,25,3,10,83,52,+31,Gonzalo Higuaín,22
08/09,3,Sevilla,70,38,21,7,10,54,39,+15,Frédéric Kanouté,18
08/09,4,Atlético Madrid,67,38,20,7,11,80,57,+23,Diego Forlán,32
08/09,5,Villarreal,65,38,18,11,9,61,54,+7,Joseba Llorente,15
08/09,6,Valencia,62,38,18,8,12,68,54,+14,David Villa,28
08/09,7,Deportivo,58,38,16,10,12,48,47,+1,Ángel Lafita,8
08/09,8,Málaga,55,38,15,10,13,55,59,-4,Apoño,9
08/09,9,Mallorca,51,38,14,9,15,53,60,-7,Aritz Aduriz,11
08/09,10,Espanyol,47,38,12,11,15,46,49,-3,Raúl Tamudo,6
08/09,11,Almería,46,38,13,7,18,45,61,-16,Álvaro Negredo,19
08/09,12,Racing,46,38,12,10,16,49,48,+1,Nikola Žigić,13
08/09,13,Athletic Club,44,38,12,8,18,47,62,-15,Fernando Llorente,14
08/09,14,Sporting Gijón,43,38,14,1,23,47,79,-32,Mate Bilić,11
08/09,15,Osasuna,43,38,10,13,15,41,47,-6,Walter Pandiani,11
08/09,16,Valladolid,43,38,12,7,19,46,58,-12,Henok Goitom,10
08/09,17,Getafe,42,38,10,12,16,50,56,-6,Roberto Soldado,13
08/09,18,Betis,42,38,10,12,16,51,58,-7,Achille Emaná,11
08/09,19,Numancia,35,38,10,5,23,38,69,-31,José Barkero,12
08/09,20,Recreativo,33,38,8,9,21,34,57,-23,Adrián Colunga,10
09/10,1,Barcelona,99,38,31,6,1,98,24,+74,Lionel Messi,34
09/10,2,Real Madrid,96,38,31,3,4,102,35,+67,Gonzalo Higuaín,27
09/10,3,Valencia,71,38,21,8,9,59,40,+19,David Villa,21
09/10,4,Sevilla,63,38,19,6,13,65,49,+16,Luís Fabiano,15
09/10,5,Mallorca,62,38,18,8,12,59,44,+15,Aritz Aduriz,12
09/10,6,Getafe,58,38,17,7,14,58,48,+10,Roberto Soldado,16
09/10,7,Villarreal,56,38,16,8,14,58,57,+1,Nilmar,11
09/10,8,Athletic Club,54,38,15,9,14,50,53,-3,Fernando Llorente,14
09/10,9,Atlético Madrid,47,38,13,8,17,57,61,-4,Diego Forlán,18
09/10,10,Deportivo,47,38,13,8,17,35,49,-14,Riki,8
09/10,11,Espanyol,44,38,11,11,16,29,46,-17,Dani Osvaldo,7
09/10,12,Osasuna,43,38,11,10,17,37,46,-9,Walter Pandiani,11
09/10,13,Almería,42,38,10,12,16,43,55,-12,Kalu Uche,9
09/10,14,Zaragoza,41,38,10,11,17,46,64,-18,Adrián Colunga,7
09/10,15,Sporting Gijón,40,38,9,13,16,36,51,-15,Diego Castro,10
09/10,16,Racing,39,38,9,12,17,42,59,-17,Mohamed Tchité,11
09/10,17,Málaga,37,38,7,16,15,42,48,-6,Duda,8
09/10,18,Valladolid,36,38,7,15,16,37,62,-25,Diego Costa,8
09/10,19,Tenerife,36,38,9,9,20,40,74,-34,Nino,14
09/10,20,Xerez,34,38,8,10,20,38,66,-28,Mario Bermejo,12
10/11,1,Barcelona,96,38,30,6,2,95,21,+74,Lionel Messi,31
10/11,2,Real Madrid,92,38,29,5,4,102,33,+69,Cristiano Ronaldo,40
10/11,3,Valencia,71,38,21,8,9,64,44,+20,Roberto Soldado,18
10/11,4,Villarreal,62,38,18,8,12,54,44,+10,Giuseppe Rossi,18
10/11,5,Sevilla,58,38,17,7,14,62,61,+1,Álvaro Negredo,20
