Season,#,Team,Points,MP,W,D,L,GF,GA,GD,Top Scorer,Top Scorer Goals
00/01,1,Roma,75,34,22,9,3,68,33,+35,Gabriel Batistuta,20
00/01,2,Juventus,73,34,21,10,3,61,27,+34,David Trezeguet,14
00/01,3,Lazio,69,34,21,6,7,65,36,+29,Hernán Crespo,26
00/01,4,Parma,56,34,16,8,10,51,31,+20,Marco Di Vaio,15
00/01,5,Inter,51,34,14,9,11,47,47,0,Christian Vieri,18
00/01,6,Milan,49,34,12,13,9,56,46,+10,Andriy Shevchenko,24
00/01,7,Atalanta,44,34,10,14,10,38,34,+4,Nicola Ventola,10
00/01,8,Brescia,44,34,10,14,10,44,42,+2,Dario Hübner,17
00/01,9,Fiorentina,43,34,10,13,11,53,52,+1,Enrico Chiesa,22
00/01,10,Bologna,43,34,11,10,13,49,53,-4,Giuseppe Signori,16
00/01,11,Perugia,42,34,10,12,12,49,53,-4,Marco Materazzi,12
00/01,12,Udinese,38,34,11,5,18,49,59,-10,Roberto Sosa,15
00/01,13,Lecce,37,34,8,13,13,40,54,-14,Cristiano Lucarelli,12
00/01,14,Hellas Verona,37,34,10,7,17,40,59,-19,Emiliano Bonazzoli,7
00/01,15,Reggina,37,34,10,7,17,32,49,-17,Davide Dionigi,6
00/01,16,Vicenza,36,34,9,9,16,37,51,-14,Luca Toni,9
00/01,17,Napoli,36,34,8,12,14,35,51,-16,Nicola Amoruso,10
00/01,18,Bari,20,34,5,5,24,31,68,-37,Daniel Andersson,8
01/02,1,Juventus,71,34,20,11,3,64,23,+41,David Trezeguet,24
01/02,2,Roma,70,34,19,13,2,58,24,+34,Vincenzo Montella,13
01/02,3,Inter,69,34,20,9,5,62,35,+27,Christian Vieri,22
01/02,4,Milan,55,34,14,13,7,47,33,+14,Andriy Shevchenko,14
01/02,5,Chievo,54,34,14,12,8,57,52,+5,Massimo Marazzina,13
01/02,6,Lazio,53,34,14,11,9,50,37,+13,Hernán Crespo,13
01/02,7,Bologna,52,34,15,7,12,40,40,0,Julio Ricardo Cruz,10
01/02,8,Perugia,46,34,13,7,14,38,46,-8,Fabio Bazzani,10
01/02,9,Atalanta,45,34,12,9,13,41,50,-9,Cristiano Doni,16
01/02,10,Parma,44,34,12,8,14,43,47,-4,Marco Di Vaio,20
01/02,11,Torino,43,34,10,13,11,37,39,-2,Marco Ferrante,10
01/02,12,Piacenza,42,34,11,9,14,49,43,+6,Dario Hübner,24
01/02,13,Brescia,40,34,9,13,12,43,52,-9,Luca Toni,13
01/02,14,Udinese,40,34,11,7,16,41,52,-11,Roberto Muzzi,14
01/02,15,Hellas Verona,39,34,11,6,17,41,53,-12,Adrian Mutu,12
01/02,16,Lecce,28,34,6,10,18,36,56,-20,Javier Chevantón,11
01/02,17,Fiorentina,22,34,5,7,22,29,63,-34,Adriano,6
01/02,18,Venezia,18,34,3,9,22,30,61,-31,Filippo Maniero,18
02/03,1,Juventus,72,34,21,9,4,64,29,+35,Alessandro Del Piero,16
02/03,2,Inter,65,34,19,8,7,64,38,+26,Christian Vieri,24
02/03,3,Milan,61,34,18,7,9,55,30,+25,Filippo Inzaghi,16
02/03,4,Lazio,60,34,15,15,4,57,32,+25,Claudio López,15
02/03,5,Parma,56,34,15,11,8,55,36,+19,Adrian Mutu,17
02/03,6,Udinese,56,34,16,8,10,38,35,+3,Vincenzo Iaquinta,7
02/03,7,Chievo,55,34,16,7,11,51,39,+12,Federico Cossato,9
02/03,8,Roma,49,34,13,10,11,55,46,+9,Francesco Totti,14
02/03,9,Brescia,42,34,9,15,10,36,38,-2,Roberto Baggio,12
02/03,10,Perugia,42,34,10,12,12,40,48,-8,Fabrizio Miccoli,9
02/03,11,Bologna,41,34,10,11,13,39,47,-8,Giuseppe Signori,12
02/03,12,Modena,38,34,9,11,14,30,48,-18,Giuseppe Sculli,8
02/03,13,Empoli,38,34,9,11,14,36,46,-10,Antonio Di Natale,13
02/03,14,Reggina,38,34,10,8,16,38,53,-15,Emiliano Bonazzoli,7
02/03,15,Atalanta,38,34,8,14,12,35,47,-12,Cristiano Doni,10
02/03,16,Piacenza,30,34,8,6,20,44,62,-18,Dario Hübner,14
02/03,17,Como,24,34,4,12,18,29,57,-28,Nicola Amoruso,6
02/03,18,Torino,21,34,4,9,21,23,58,-35,Marco Ferrante,6
03/04,1,Milan,82,34,25,7,2,65,24,+41,Andriy Shevchenko,24
03/04,2,Roma,71,34,21,8,5,68,19,+49,Francesco Totti,20
03/04,3,Juventus,69,34,21,6,7,67,42,+25,David Trezeguet,16
03/04,4,Inter,59,34,17,8,9,59,37,+22,Christian Vieri,13
03/04,5,Parma,58,34,16,10,8,57,46,+11,Alberto Gilardino,23
03/04,6,Lazio,56,34,16,8,10,52,38,+14,Bernardo Corradi,9
03/04,7,Udinese,50,34,13,11,10,44,40,+4,Dino Fava,12
03/04,8,Sampdoria,46,34,11,13,10,40,42,-2,Fabio Bazzani,13
03/04,9,Chievo,44,34,11,11,12,36,37,-1,Federico Cossato,6
03/04,10,Lecce,41,34,11,8,15,43,56,-13,Javier Chevantón,19
03/04,11,Brescia,40,34,9,13,12,52,57,-5,Roberto Baggio,12
03/04,12,Bologna,39,34,10,9,15,45,53,-8,Claudio Bellucci,7
03/04,13,Reggina,34,34,6,16,12,29,45,-16,Francesco Cozza,8
03/04,14,Siena,34,34,8,10,16,41,54,-13,Enrico Chiesa,10
03/04,15,Perugia,32,34,6,14,14,44,56,-12,Zé Maria,7
03/04,16,Modena,30,34,6,12,16,27,46,-19,Diomansy Kamara,6
03/04,17,Empoli,30,34,7,9,18,26,54,-28,Tommaso Rocchi,11
03/04,18,Ancona,13,34,2,7,25,21,70,-49,Cristian Bucchi,5
04/05,1,Juventus,86,38,26,8,4,67,27,+40,Zlatan Ibrahimović,16
04/05,2,Milan,79,38,23,10,5,63,28,+35,Andriy Shevchenko,17
04/05,3,Inter,72,38,18,18,2,65,37,+28,Adriano,16
04/05,4,Udinese,62,38,17,11,10,56,40,+16,David Di Michele,15
04/05,5,Sampdoria,61,38,17,10,11,42,29,+13,Francesco Flachi,14
04/05,6,Palermo,53,38,12,17,9,48,44,+4,Luca Toni,20
04/05,7,Messina,48,38,12,12,14,44,52,-8,Riccardo Zampagna,12
04/05,8,Roma,45,38,11,12,15,54,58,-4,Vincenzo Montella,21
04/05,9,Livorno,45,38,11,12,15,49,60,-11,Cristiano Lucarelli,24
04/05,10,Reggina,44,38,10,14,14,36,45,-9,Emiliano Bonazzoli,8
04/05,11,Lecce,44,38,10,14,14,66,73,-7,Mirko Vučinić,19
04/05,12,Cagliari,44,38,10,14,14,51,60,-9,Mauro Esposito,16
04/05,13,Lazio,44,38,11,11,16,48,52,-4,Tommaso Rocchi,13
04/05,14,Siena,43,38,9,16,13,44,55,-11,Enrico Chiesa,11
04/05,15,Chievo,43,38,11,10,17,32,49,-17,Sergio Pellissier,7
04/05,16,Fiorentina,42,38,9,15,14,42,50,-8,Fabrizio Miccoli,12
04/05,17,Parma,42,38,10,12,16,48,65,-17,Alberto Gilardino,23
04/05,18,Bologna,42,38,9,15,14,33,36,-3,Claudio Bellucci,10
04/05,19,Brescia,41,38,11,8,19,37,54,-17,Andrea Caracciolo,12
04/05,20,Atalanta,35,38,8,11,19,34,45,-11,Stephen Makinwa,6
05/06,1,Inter,76,38,23,7,8,68,30,+38,Julio Ricardo Cruz,15
05/06,2,Roma,69,38,19,12,7,70,42,+28,Francesco Totti,15
05/06,3,Milan,58,38,28,4,6,85,31,+54,Andriy Shevchenko,19
05/06,4,Chievo,54,38,13,15,10,54,49,+5,Sergio Pellissier,13
05/06,5,Palermo,52,38,13,13,12,50,52,-2,Andrea Caracciolo,9
05/06,6,Livorno,49,38,12,13,13,37,44,-7,Cristiano Lucarelli,19
05/06,7,Parma,45,38,12,9,17,46,60,-14,Bernardo Corradi,10
05/06,8,Empoli,45,38,13,6,19,47,61,-14,Francesco Tavano,18
05/06,9,Fiorentina,44,38,22,8,8,66,41,+25,Luca Toni,31
05/06,10,Ascoli,43,38,9,16,13,43,53,-10,Marco Ferrante,8
05/06,11,Udinese,43,38,11,10,17,40,54,-14,Vincenzo Iaquinta,9
05/06,12,Sampdoria,41,38,10,11,17,47,51,-4,Francesco Flachi,11
05/06,13,Reggina,41,38,11,8,19,39,65,-26,Nicola Amoruso,11
05/06,14,Cagliari,39,38,8,15,15,42,55,-13,David Suazo,22
05/06,15,Siena,39,38,9,12,17,42,60,-18,Erjon Bogdani,11
05/06,16,Lazio,32,38,16,14,8,57,47,+10,Tommaso Rocchi,16
05/06,17,Messina,31,38,6,13,19,33,59,-26,Arturo Di Napoli,13
05/06,18,Lecce,29,38,7,8,23,30,57,-27,Mirko Vučinić,9
05/06,19,Treviso,21,38,3,12,23,24,56,-32,Marco Borriello,5
05/06,20,Juventus,91,38,27,10,1,71,24,+47,David Trezeguet,23
06/07,1,Inter,97,38,30,7,1,80,34,+46,Zlatan Ibrahimović,15
06/07,2,Roma,75,38,22,9,7,74,34,+40,Francesco Totti,26
06/07,3,Lazio,62,38,18,11,9,59,33,+26,Tommaso Rocchi,16
06/07,4,Milan,61,38,19,12,7,57,36,+21,Alberto Gilardino,12
06/07,5,Palermo,58,38,16,10,12,58,51,+7,Eugenio Corini,10
06/07,6,Fiorentina,58,38,21,10,7,62,31,+31,Adrian Mutu,16
06/07,7,Empoli,54,38,14,12,12,42,43,-1,Luca Saudati,14
06/07,8,Atalanta,50,38,12,14,12,56,54,+2,Cristiano Doni,13
06/07,9,Sampdoria,49,38,13,10,15,44,48,-4,Fabio Quagliarella,13
06/07,10,Udinese,46,38,12,10,16,49,55,-6,Vincenzo Iaquinta,14
06/07,11,Livorno,43,38,10,13,15,41,54,-13,Cristiano Lucarelli,20
06/07,12,Parma,42,38,10,12,16,41,56,-15,Igor Budan,13
06/07,13,Catania,41,38,10,11,17,46,68,-22,Gionatha Spinesi,17
06/07,14,Reggina,40,38,12,15,11,52,50,+2,Rolando Bianchi,18
06/07,15,Siena,40,38,9,14,15,35,45,-10,Mario Frick,6
06/07,16,Torino,40,38,10,10,18,27,47,-20,Alessandro Rosina,9
06/07,17,Cagliari,40,38,9,13,16,35,46,-11,David Suazo,14
06/07,18,Chievo,39,38,9,12,17,38,48,-10,Sergio Pellissier,9
06/07,19,Ascoli,27,38,5,12,21,36,67,-31,Saša Bjelanović,7
06/07,20,Messina,26,38,5,11,22,37,69,-32,Christian Riganò,19
07/08,1,Inter,85,38,25,10,3,69,26,+43,Zlatan Ibrahimović,17
07/08,2,Roma,82,38,24,10,4,72,37,+35,Francesco Totti,14
07/08,3,Juventus,72,38,20,12,6,72,37,+35,Alessandro Del Piero,21
07/08,4,Fiorentina,66,38,19,9,10,55,39,+16,Adrian Mutu,17
07/08,5,Milan,64,38,18,10,10,66,38,+28,Kaká,15
07/08,6,Sampdoria,60,38,17,9,12,56,46,+10,Claudio Bellucci,12
07/08,7,Udinese,57,38,16,9,13,48,53,-5,Antonio Di Natale,17
07/08,8,Napoli,50,38,14,8,16,50,53,-3,Marek Hamšík,9
07/08,9,Atalanta,48,38,12,12,14,52,56,-4,Cristiano Doni,12
07/08,10,Genoa,48,38,13,9,16,44,52,-8,Marco Borriello,19
07/08,11,Palermo,47,38,12,11,15,47,57,-10,Amauri,15
07/08,12,Lazio,46,38,11,13,14,47,51,-4,Tommaso Rocchi,14
07/08,13,Siena,44,38,9,17,12,40,45,-5,Massimo Maccarone,13
07/08,14,Cagliari,42,38,11,9,18,40,56,-16,Robert Acquafresca,10
07/08,15,Torino,40,38,8,16,14,36,49,-13,Alessandro Rosina,8
07/08,16,Reggina,40,38,9,13,16,37,56,-19,Nicola Amoruso,12
07/08,17,Catania,37,38,8,13,17,33,45,-12,Jorge Martínez,8
07/08,18,Empoli,36,38,9,9,20,29,52,-23,Nicola Pozzi,7
07/08,19,Parma,34,38,7,13,18,42,62,-20,Igor Budan,7
07/08,20,Livorno,30,38,6,12,20,35,60,-25,Francesco Tavano,10
08/09,1,Inter,84,38,25,9,4,70,32,+38,Zlatan Ibrahimović,25
08/09,2,Juventus,74,38,21,11,6,69,37,+32,Alessandro Del Piero,13
08/09,3,Milan,74,38,22,8,8,70,35,+35,Kaká,16
08/09,4,Fiorentina,68,38,21,5,12,53,38,+15,Alberto Gilardino,19
08/09,5,Genoa,68,38,19,11,8,56,39,+17,Diego Milito,24
08/09,6,Roma,63,38,18,9,11,64,61,+3,Francesco Totti,13
08/09,7,Udinese,58,38,16,10,12,61,50,+11,Fabio Quagliarella,13
08/09,8,Palermo,57,38,17,6,15,57,50,+7,Edinson Cavani,14
08/09,9,Cagliari,53,38,15,8,15,49,50,-1,Robert Acquafresca,14
08/09,10,Lazio,50,38,15,5,18,46,55,-9,Mauro Zárate,13
08/09,11,Atalanta,47,38,13,8,17,45,48,-3,Sergio Floccari,12
08/09,12,Napoli,46,38,12,10,16,43,45,-2,Marek Hamšík,9
08/09,13,Sampdoria,46,38,11,13,14,49,52,-3,Antonio Cassano,12
08/09,14,Siena,44,38,12,8,18,33,44,-11,Massimo Maccarone,9
08/09,15,Catania,43,38,12,7,19,41,51,-10,Giuseppe Mascara,12
08/09,16,Chievo,38,38,8,14,16,35,49,-14,Sergio Pellissier,13
08/09,17,Bologna,37,38,9,10,19,43,62,-19,Marco Di Vaio,24
08/09,18,Torino,34,38,8,10,20,37,61,-24,Rolando Bianchi,9
08/09,19,Reggina,31,38,6,13,19,30,62,-32,Bernardo Corradi,10
08/09,20,Lecce,30,38,5,15,18,37,67,-30,Simone Tiribocchi,11
09/10,1,Inter,82,38,24,10,4,75,34,+41,Diego Milito,22
09/10,2,Roma,80,38,24,8,6,68,41,+27,Mirko Vučinić,14
09/10,3,Milan,70,38,20,10,8,60,39,+21,Marco Borriello,14
09/10,4,Sampdoria,67,38,19,10,9,49,41,+8,Giampaolo Pazzini,19
09/10,5,Palermo,65,38,18,11,9,59,47,+12,Fabrizio Miccoli,19
09/10,6,Napoli,59,38,15,14,9,50,43,+7,Marek Hamšík,12
09/10,7,Juventus,55,38,16,7,15,55,56,-1,Alessandro Del Piero,9
09/10,8,Parma,52,38,14,10,14,46,51,-5,Valeri Bojinov,8
09/10,9,Genoa,51,38,14,9,15,57,61,-4,Rodrigo Palacio,7
09/10,10,Bari,50,38,13,11,14,49,49,0,Paulo Vitor Barreto,14
09/10,11,Fiorentina,47,38,13,8,17,48,47,+1,Alberto Gilardino,15
09/10,12,Lazio,46,38,11,13,14,39,43,-4,Sergio Floccari,8
09/10,13,Catania,45,38,10,15,13,44,45,-1,Maxi López,11
09/10,14,Chievo,44,38,12,8,18,37,42,-5,Sergio Pellissier,11
09/10,15,Udinese,44,38,11,11,16,54,59,-5,Antonio Di Natale,29
09/10,16,Cagliari,44,38,11,11,16,56,58,-2,Alessandro Matri,13
09/10,17,Bologna,42,38,10,12,16,42,55,-13,Marco Di Vaio,12
09/10,18,Atalanta,35,38,9,8,21,37,53,-16,Simone Tiribocchi,11
09/10,19,Siena,31,38,7,10,21,40,67,-27,Massimo Maccarone,12
09/10,20,Livorno,29,38,7,8,23,27,61,-34,Cristiano Lucarelli,10
10/11,1,Milan,82,38,24,10,4,65,24,+41,Zlatan Ibrahimović,14
10/11,2,Inter,76,38,23,7,8,69,42,+27,Samuel Eto'o,21
10/11,3,Napoli,70,38,21,7,10,59,39,+20,Edinson Cavani,26
10/11,4,Udinese,66,38,20,6,12,65,43,+22,Antonio Di Natale,28
10/11,5,Lazio,66,38,20,6,12,55,39,+16,Hernanes,11
10/11,6,Roma,63,38,18,9,11,59,52,+7,Francesco Totti,15
10/11,7,Juventus,58,38,15,13,10,57,47,+10,Alessandro Matri,9
10/11,8,Palermo,56,38,17,5,16,58,63,-5,Javier Pastore,11
10/11,9,Fiorentina,51,38,12,15,11,49,44,+5,Alberto Gilardino,12
10/11,10,Genoa,51,38,14,9,15,45,47,-2,Antonio Floro Flores,10
